ds,y
2013-01-01,10327624.7369095
2013-02-01,9658959.7774368
2013-03-01,11428497.0374875
2013-04-01,10993464.7380118
2013-05-01,11597704.0070268
2013-06-01,11689344.0622436
2013-07-01,11257400.6076808
2013-08-01,11737788.9194727
2013-09-01,11792933.2318679
2013-10-01,11775620.3605191
2013-11-01,12356559.2929861
2013-12-01,15803117.1479746
2014-01-01,18911640.7014034
2014-02-01,12038352.6339783
2014-03-01,20365584.016477
2014-04-01,12861251.0571494
2014-05-01,13379785.2611975
2014-06-01,13319958.1730016
2014-07-01,19421891.0438224
2014-08-01,13885176.4190542
2014-09-01,20022416.1138096
2014-10-01,20396101.3141771
2014-11-01,20531635.2036432
2014-12-01,24340454.3638302
2015-01-01,14896922.0571985
2015-02-01,13742395.8483812
2015-03-01,15598607.5183553
2015-04-01,14955068.1707755
2015-05-01,17730368.244309
2015-06-01,21615360.3512421
2015-07-01,22209619.0387389
2015-08-01,22963674.2412815
2015-09-01,23240882.4779112
2015-10-01,23878267.6645621
2015-11-01,22804953.3682112
2015-12-01,27243981.6737737
2016-01-01,23977804.8854341
2016-02-01,21947408.8010028
2016-03-01,23131780.8838199
2016-04-01,25963025.1019622
2016-05-01,24779432.2602277
2016-06-01,22209218.5803836
2016-07-01,23462672.4331036
2016-08-01,22452414.3178949
2016-09-01,22417448.0969967
2016-10-01,24030389.816292
2016-11-01,24642640.1973935
2016-12-01,29640287.5793851
2017-01-01,26328159.9357051
2017-02-01,23250112.3749368
2017-03-01,26704017.6908793
2017-04-01,25895308.4895551
2017-05-01,26911847.250593
