ds,value,type
2009-12-01,724739.23,Actual
2010-01-01,489556.962,Actual
2010-02-01,442423.776,Actual
2010-03-01,674426.601,Actual
2010-04-01,548119.711,Actual
2010-05-01,518690.43,Actual
2010-06-01,578959.09,Actual
2010-07-01,531905.94,Actual
2010-08-01,559258.7,Actual
2010-09-01,724007.841,Actual
2010-10-01,930111.4,Actual
2010-11-01,1233284.492,Actual
2010-12-01,342760.61,Actual
2011-01-01,638326.521769231,Forecast
2011-02-01,638326.521769231,Forecast
2011-03-01,638326.521769231,Forecast
2011-04-01,638326.521769231,Forecast
2011-05-01,638326.521769231,Forecast
2011-06-01,638326.521769231,Forecast
